### Vocabularium 1
schola f. (2.F. scholae);die Schule
supero, -as (superavi, -atum);1) besiegen, 2) übertreffen
si;wenn, falls
bene (Adverb);gut
vita f. (2.F. vitae);das Leben
dono, -as (donavi, donatum);schenken
pro (Präp. + Abl.);für
suus/a/um;sein, ihr
a / ab (Präp. + Abl.);von
prae (Präp. + Abl.);vor
neque (nec);und nicht

### Vocabularium 5
mihi / tibi / sibi (Dative);mir / dir / sich
me / te / se (Akkusative);mich / dich / sich
delectare (delecto 1, -avi, -atum);(jemanden) erfreuen
nonne?;nicht?
ego / tu;ich / du
Graeci (Pl.) (Graecorum m.);die Griechen
ita;so
inquit;er/sie sagt(e)
num?;etwa?
vester/tra/trum;euer, eure
quoque;auch
nobis / vobis (Dative);uns / euch
noster/tra/trum;unser, unsere
in (+ Akk.) (Frage: WOHIN?);in, nach, gegen
animus m. (2.F. animi);1) der Sinn, der Geist, 2) der Mut
nos / vos (Nom. + Akk.);wir uns / ihr euch
quis nostrum;wer von uns
quis vestrum;wer von euch
nobiscum / vobiscum;mit uns / mit euch
manere (maneo 2, mansi, mansum);bleiben
properare (propero 1, -avi, -atum);eilen
aqua f. (2.F. aquae);das Wasser
iterum (Adverb);wieder(um)
minime (Adverb);keineswegs, nein
licet (nur 3.P. Sg.) (licuit);es ist erlaubt, es ist möglich
otium n. (2.F. otii);die Freizeit, die Erholung, die Muße
sub (+ Akk.) (Frage: WOHIN?);unter (... hin)
sub (+ Abl.) (Frage: WO?);unter
terreo, -es (terrui, territum);(jemanden) erschrecken

### Vocabularium 6
filia, filiae f.;die Tochter
tamen;dennoch, trotzdem
duo, duae, duo (3./6.F.: duobus);zwei
filius, filii m.;der Sohn
parvus/a/um;klein
paulo post;wenig später
post (nach Abl.);später, nachher
appropinquare (appropinquo 1, -avi, -atum);sich nähern
liberi (Pl.) (liberorum m.);die Kinder
autem (nachgestellt);aber
deinde;dann
portare (porto 1, portavi, -atum);tragen, bringen
annus m. (anni m.);das Jahr
sum, fui, -;sein
oppidum n. (2.F. oppidi);die Stadt
aedificare (aedifico 1, aedificavi, aedificatum);erbauen
regnare (regno 1, -avi, -atum);herrschen, regieren
posse (possum, potui);können
sex;sechs
duodecim;zwölf
dei = deis (3./6.F. Pl.);den Göttern
gratus/a/um;1) dankbar, 2) angenehm
di (1.F. Pl. m.);die Götter
auxilium, auxilii n.;die Hilfe
nonnulli/ae/a (Pl.);einige
magnificus/a/um;großartig, prächtig
trans (+ Akk.);über, jenseits von

### Vocabularium 7
venire (venio 4, veni, ventum);kommen
habitare (habito 1, -avi, -atum);wohnen, bewohnen
ut;1) wie, 2) als
apud (+ Akk.);bei
legere (lego 3, legi, lectum);lesen
consilium n. (consilii);1) der Plan, 2) der Rat
capere (capio M, cepi, captum);1) fassen, ergreifen, 2) fangen, 3) nehmen
nuntius m. (nuntii);1) der Bote, 2) die Nachricht
populus m. (populi);das Volk
mittere (mitto 3, misi, missum);schicken
dicere (dico 3, dixi, dictum);1) sagen, 2) nennen
parare (paro 1, paravi, -atum);1) (vor)bereiten, 2) erwerben
audire (audio 4, -ivi, auditum);hören
nam;denn, nämlich
dum (+ Präsens);während
subito (Adv.);plötzlich
rapere (rapio M, rapui, raptum);rauben
domum;nach Hause
arma (Pl.) n. (armorum);die Waffen
adiuvare (adiuvo 1, adiuvi, -iutum);unterstützen, helfen
relinquere (relinquo 3, reliqui, relictum);1) verlassen, 2) zurücklassen
domi;zu Hause
iniuria f. (iniuriae);das Unrecht
tolerare (tolero 1, -avi, -atum);ertragen
bellum n. (belli);der Krieg
bellum gerere (gero 3, gessi, gestum);Krieg führen
inter (+ Akk.);zwischen
contendere (contendo 3, contendi, contentum);1) eilen, 2) kämpfen
necesse est;es ist notwendig

### Vocabularium 8
unus/a/um (2.F. unius, 3.F. uni);1) ein, 2) einzig
ceteri/ae/a (Pl.);die übrigen
primus/a/um;der erste
hora f. (horae);die Stunde
neque - neque (= nec - nec);weder - noch
servus m. (servi);der Sklave
centum;hundert
tres/tres/tria (Formen S. 44);drei
occupare (occupo 1, -avi, -atum);besetzen
exemplum n. (exempli);das Beispiel
eram, eras ... (Imperfekt von esse);ich war, du warst ...
culpa f. (culpae);die Schuld
solus/a/um (2.F. solius, 3.F. soli);allein
resistere (resisto 3, restiti, -);Widerstand leisten
non iam;nicht mehr
committere (committo 3, commisi, commissum);1) begehen (eine Tat), 2) beginnen (einen Krieg)
nisi;wenn nicht, falls nicht
familia f. (familiae);die Familie
parere (pareo 2, parui, -);gehorchen
expellere (expello 3, -puli, -pulsum);vertreiben, verjagen
facere (facio M, feci, factum);tun, machen
postquam (+ Perfekt!);nachdem
maxime (Adv.);sehr, am meisten
septimus/a/um;der siebente
nullus/a/um (2.F. nullius, 3.F. nulli);kein

### Vocabularium 9
quem?;wen?
timere (timeo 2, timui, -);fürchten, sich fürchten
Galli (Gallorum m.);die Gallier (Kelten)
flumen (fluminis n.);der Fluss
miles (militis m.);der Soldat
fugere (+ Akk.) (fugio M, fugi, -);flüchten (vor), fliehen
delere (deleo 2, delevi, deletum);zerstören
oppugnare (oppugno 1, -avi, -atum);bestürmen, belagern
expugnare (expugno 1, -avi, -atum);erobern
nox (noctis f.);die Nacht
dormire (dormio 4, -ivi, -itum);schlafen
constituere (constituo 3, constitui, constitutum);beschließen, festsetzen
castra (castrorum n. Pl.);das Lager (Sg. im Deutschen)
clam (Adv.);heimlich
ascendere (ascendo 3, ascendi, ascensum);hinaufsteigen, besteigen
homo (hominis m.);der Mensch
canis (canis m.);der Hund
Iuno (Iunonis f.);Juno
sacer/cra/crum;1) heilig, 2) geweiht
quamquam;obwohl
carere (+ Abl.) (careo 2, carui, -);frei sein (von ...), nicht haben
vox (vocis f.);die Stimme
clamor (clamoris m.);das Geschrei, der Lärm
statim (Adv.);sofort, sogleich
servare (servo 1, -avi, -atum);1) retten, 2) bewahren
gloria (gloriae f.);der Ruhm, die Ehre
nomen (nominis n.);der Name
accipere (accipio M, accepi, acceptum);1) erhalten, 2) aufnehmen, 3) annehmen

